SMILES,Density (g/cm^3),van der Waals volume (cm^3/g),FFV,SCScore
*/C(/Cl)=C(\C#C[Si](C)(C#N)CN)/*,0.996 ,0.533 ,0.310 ,2.190 
*c1ccc(s1)S(=O)(=O)N(C)O[Si](C)(C)c1ccc(o1)[Si](C)(C)O[Si](C)(C)c1ccc(s1)c1nnc(s1)*,0.984 ,0.540 ,0.310 ,4.276 
*C(=O)O/C(=C(/Cl)\O[Si](C)(C)C)/*,1.035 ,0.514 ,0.308 ,1.438 
*/C=C/C=C(C=C(C)O[Si](C)(C)C)c1cc(Cl)c(s1)*,0.991 ,0.537 ,0.308 ,2.911 
*O[Si](CO)(SC=C)CSC(=O)*,0.997 ,0.534 ,0.308 ,2.407 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)S(=O)([2H])*,0.997 ,0.534 ,0.307 ,2.421 
*C#CC#C[Si](C)(C)O[SiH](C(=O)O)S*,0.997 ,0.536 ,0.305 ,2.072 
*Cc1ccc(cc1)CSc1ccc(cc1)N(c1ccccc1)*,1.034 ,0.517 ,0.305 ,2.441 
*OC[Si](C)(C)O[Si](C)(CS(=O)(=O)O)*,0.984 ,0.543 ,0.305 ,2.289 
*C(=O)O[Si](C)(C)O[Si](C)(C)Oc1ccc(n1C#N)*,0.994 ,0.538 ,0.304 ,2.680 
*Oc1cc(OCC(CC)CCCC)c(cc1Br)*,1.081 ,0.495 ,0.304 ,2.539 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)NCS(=O)(=O)*,0.986 ,0.543 ,0.304 ,2.321 
*Cc1ccc(cc1S(=O)(=O)O)OCc1ccc(cc1)N(c1ccccc1)*,1.072 ,0.500 ,0.303 ,2.976 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC(=O)*,0.996 ,0.538 ,0.303 ,1.959 
*OP(=O)(O)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC(=O)*,0.996 ,0.538 ,0.303 ,2.484 
*/C(/Cl)=C(\C)/[Si](C)(CC)*,1.002 ,0.535 ,0.302 ,1.785 
*/C=C/c1ccc(s1)S(=O)(=O)c1ccc(s1)C(=O)Oc1ccc(s1)[Si](C)(C)*,1.026 ,0.523 ,0.302 ,3.899 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC(=O)c1ccc(s1)*,0.997 ,0.539 ,0.302 ,2.415 
*N=[PH](C)(O[Si](C)(C)OP(=O)(CCl)OCC)*,1.054 ,0.510 ,0.302 ,2.433 
*O[Si](C)(C)O[Si](C)(OC)O[Si](C)(C)O[Si](C)(C)OC(=O)*,0.996 ,0.539 ,0.302 ,2.470 
*OP(=O)(O[Si](C)(C)O)C(=O)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)*,0.996 ,0.539 ,0.302 ,3.188 
*/C(/Cl)=C(\OCC[Si](C)(C)C)/*,1.017 ,0.528 ,0.302 ,1.532 
*Nc1cc(S(=O)(=O)O[Si](C)(C)C)c(s1)[Si](C)(C)*,1.000 ,0.537 ,0.302 ,2.425 
*O[Si](C)(CSC(=O)O)*,1.012 ,0.531 ,0.302 ,1.824 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC(=O)c1ccc(s1)*,0.997 ,0.539 ,0.302 ,2.415 
*C(=O)O[Si](C)(c1cccnc1)*,1.016 ,0.529 ,0.302 ,2.190 
*CC=C([Si](C)(C)C)[Si](C)(CCl)O*,1.021 ,0.526 ,0.302 ,1.678 
*/C(/[2H])=C(\Cl)/O[Si](C)(C=C)*,1.029 ,0.522 ,0.302 ,2.318 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC(=O)*,0.996 ,0.539 ,0.301 ,1.959 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC(=O)*,0.996 ,0.539 ,0.301 ,1.959 
*C(C#S)=C(Cl)N[Si](C)(C)*,1.012 ,0.531 ,0.301 ,1.966 
*O[Si](C)(C)O[Si](C)(C)OC(=O)*,1.002 ,0.536 ,0.301 ,1.736 
*/C=C/C(C#N)=C([Si](C)(C)Cl)*,0.975 ,0.552 ,0.301 ,2.420 
*Cc1ccc(cc1)COP(=O)(c1ccccc1)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)CN(C)*,1.062 ,0.506 ,0.301 ,3.231 
*/C(/C#N)=C/C(/C)=C(\Cl)/[Si](C)(C)*,1.005 ,0.535 ,0.301 ,2.585 
*O[Si](C)(COC(=O)c1ccccc1)C(=O)*,1.036 ,0.519 ,0.301 ,2.126 
*c1ccc(cc1)P(=O)(c1ccccc1)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)N(C)C#Cc1ccc(c(C)c1)*,1.083 ,0.497 ,0.301 ,3.374 
*O[Si](C)(C)O[Si](C)(C)COC(=O)*,0.997 ,0.539 ,0.301 ,1.621 
*Cc1ccc(c(S(=O)(=O)Oc2ccc(N(C)C)cc2)c1)*,1.081 ,0.497 ,0.301 ,1.941 
*O[Si](C)(C)N[Si](C)(C)Cc1ccc(n1C(=O)OC)*,0.993 ,0.542 ,0.301 ,2.929 
*O[Si](C)(C)c1cc(C(=O)O)c(nc1C)*,1.011 ,0.532 ,0.300 ,2.605 
*O[Si](C)(C)OC(=O)*,1.012 ,0.532 ,0.300 ,1.591 
*c1ccc(s1)OCc1ccc(s1)COS(=O)(=O)O[Si](C)(C)[Si](C)(C)*,0.990 ,0.544 ,0.300 ,2.973 
*/C(/[2H])=C(\[Si](CC)(CC)CCl)/*,1.003 ,0.537 ,0.300 ,1.836 
*N=P(COC(=O)[2H])(O[Si](C)(C)C)*,1.000 ,0.539 ,0.300 ,2.318 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)COC(=O)*,0.997 ,0.540 ,0.300 ,2.178 
*OC[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC(=O)*,0.997 ,0.540 ,0.300 ,2.310 
*O[Si](C)(C)N[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC(=O)*,0.995 ,0.541 ,0.300 ,2.537 
*O[Si](C)(C)CNP(=O)(O[Si](C)(C)O[Si](C)(C)O)OC(=O)*,0.995 ,0.542 ,0.299 ,3.048 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)COC(=O)*,0.997 ,0.540 ,0.299 ,2.309 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C#N)COC(=O)*,0.997 ,0.541 ,0.299 ,2.262 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)COC(=O)*,0.997 ,0.541 ,0.299 ,2.309 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)COC(=O)*,0.997 ,0.541 ,0.299 ,2.309 
*/C(/Cl)=C(\C[Si](C)(C)C)/*,1.002 ,0.538 ,0.299 ,1.430 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(O[Si](C)(C)CS(=O)(=O)O)*,0.988 ,0.545 ,0.299 ,2.914 
*O[Si](C)(C)O[Si](C)(O[Si](C)(C)O[Si](C)(C)CNC(=O)O)*,0.995 ,0.542 ,0.299 ,3.116 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(CNC(=O)O)*,0.995 ,0.542 ,0.299 ,2.657 
*OS(=O)(=O)c1ccc(cc1)P(c1ccccc1)c1ccc(cc1)N(C)*,1.081 ,0.499 ,0.299 ,2.639 
*O[Si](C)(C)[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CSC(=O)*,0.997 ,0.541 ,0.299 ,2.102 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CSC(=O)*,0.997 ,0.541 ,0.299 ,2.207 
*N=P(Cl)(O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CC)*,1.040 ,0.519 ,0.298 ,2.416 
*c1ccc(cc1)CN(C)S(=O)(=O)c1ccc(cc1)Cc1ccc(cc1)S(=O)(=O)*,1.055 ,0.512 ,0.298 ,3.122 
*/C(/C#N)=C(\O[Si](C)(C)C#C)/*,0.860 ,0.628 ,0.298 ,1.956 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C(=O)*,0.996 ,0.542 ,0.298 ,1.859 
*C(C#N)=C(O[Si](C)(C)C)*,0.860 ,0.628 ,0.298 ,1.523 
*/C(/F)=C(\S(=O)(=O)O[Si](C)(C)OC[Si](C)(C)C)/*,0.980 ,0.551 ,0.298 ,2.256 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(s1)S(=O)(=O)c1ccc(s1)*,0.999 ,0.541 ,0.298 ,3.016 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)S(=O)(=O)*,0.999 ,0.541 ,0.298 ,2.041 
*O[Si](C)(C)COC(=O)*,1.005 ,0.537 ,0.298 ,1.700 
*OC[Si](C)(C)O[Si](C)(C)COC(=O)*,0.998 ,0.542 ,0.298 ,1.873 
*O[Si](C)(C)O[Si](C)(C#N)C(=O)*,1.000 ,0.540 ,0.297 ,1.870 
*O[Si](C)(C)O[Si](C)(C)C(=O)*,1.000 ,0.540 ,0.297 ,1.746 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C=O)(OC)OC(=O)N(C)*,0.995 ,0.543 ,0.297 ,3.022 
*/C(/C)=C(\O[Si](C)(C)C)/*,0.856 ,0.631 ,0.297 ,1.518 
*O[Si](C)(C)[SH](C)(c1ccccc1)*,1.047 ,0.516 ,0.297 ,2.046 
*SC[Si](C)(C)O[Si](C)(C)NC(=O)*,0.993 ,0.545 ,0.297 ,2.009 
*OC[Si](C)(C)O[Si](C)(C)O[Si](C)(C)COC(=O)*,0.998 ,0.542 ,0.297 ,2.177 
*O[Si](C)(C)[Si](C)(C)O[Si](C)(C[Si](C)(C)C)C(=O)*,0.993 ,0.544 ,0.297 ,2.246 
*O[Si](C)(C)O[Si](C)(C)CNC(=O)*,0.993 ,0.545 ,0.297 ,1.980 
*O[Si](C)(CS(=O)(=O)O)*,1.006 ,0.538 ,0.297 ,1.824 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C(=O)*,0.996 ,0.543 ,0.297 ,1.966 
*/C(/C)=C(/O[Si](C)(C)[Si](C)(C)C)\*,0.857 ,0.632 ,0.297 ,1.844 
*/C(/C)=C(\N(C)O[Si](C)(C)C)/*,0.876 ,0.617 ,0.296 ,1.677 
*OS(=O)(=O)[Si](C)(O[Si](C)(C)C)*,1.004 ,0.539 ,0.296 ,1.689 
*N=[PH](Cl)(O[Si](C)(C)C#CS(=O)(=O)O)*,1.085 ,0.499 ,0.296 ,2.377 
*C(=O)[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(O[Si](C)(C)C)*,0.996 ,0.543 ,0.296 ,2.109 
*O[Si](C)(C)O[Si](C)(C)[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C(=O)*,0.996 ,0.543 ,0.296 ,2.237 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C#[Si](C)(C)C)C(=O)*,0.996 ,0.543 ,0.296 ,2.350 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C(=O)*,0.996 ,0.543 ,0.296 ,1.966 
*O[Si](C)(C)O[Si](C)(C)S(=O)(=O)*,1.004 ,0.539 ,0.296 ,2.036 
*c1ccc(cc1)S(=O)(=O)c1ccc(cc1N(C)C)Cc1cc(S)cc(n1)*,1.086 ,0.499 ,0.296 ,4.555 
*c1ccc(cc1)Sc1ccc(cc1)Cc1ccc(cc1)CN(c1ccc(O)cc1)*,1.050 ,0.516 ,0.296 ,3.199 
*c1ccc(s1)S(=O)(=O)c1ccc(s1)[Si](C)(O[Si](C)(C)C)*,1.003 ,0.540 ,0.296 ,2.681 
*O[Si](C)(C)O[Si](C)(S)NC(=O)*,1.007 ,0.538 ,0.296 ,2.014 
*N=P(Cl)(O[Si](C)(S)OCC[Si](C)(C)C)*,1.041 ,0.520 ,0.296 ,1.988 
*C#C[Si](C)(C)SSSSSO*,1.043 ,0.519 ,0.296 ,1.968 
*O[Si](C)(C)[Si](C)(C)S(=O)(=O)*,1.002 ,0.541 ,0.296 ,1.829 
*Oc1ccc(S(=O)(=O)N(C)c2ccc(C#N)cc2)cc1c1ccc(cc1)*,1.097 ,0.494 ,0.296 ,3.582 
*O[Si](C)(C)[Si](C)(C)C(=O)*,0.997 ,0.543 ,0.296 ,1.539 
*Oc1ccc(cc1C)S(=O)(=O)c1ccc(cc1)N(c1ccc(C)cc1)*,1.097 ,0.494 ,0.295 ,3.053 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)NC(=O)*,0.995 ,0.545 ,0.295 ,2.307 
*O[Si](C)(C)O[Si](C)(C)OC[Si](C)(C)CNC(=O)*,0.996 ,0.545 ,0.295 ,2.237 
*Cc1ccc(cc1)Sc1ccc(cc1)Cc1ccc(cc1)N(c1ccccc1)*,1.049 ,0.517 ,0.295 ,2.968 
*OP(=O)(OO)O[Si](C)(C)[SH](C)(c1ccccc1)*,1.052 ,0.516 ,0.295 ,2.574 
*COC(=O)N[Si](C)(C)O[Si](C)(C)C[Si](C)(C)*,0.995 ,0.545 ,0.295 ,2.139 
*c1ccc(c(S(=O)(=O)Oc2ccc(N(C)C)cc2)c1)*,1.095 ,0.495 ,0.295 ,1.787 
*Oc1cc(ccc1c1ccc(S(=O)(=O)N(C)C)cc1)*,1.095 ,0.495 ,0.295 ,2.632 
*N=P(OCCl)(O[Si](C)(C)O)*,1.083 ,0.501 ,0.295 ,1.906 
*N=P(C)(CCl)O[Si](C)(C)O*,1.079 ,0.503 ,0.295 ,1.813 
*/C=C(\C[Si](C)(C)OCCl)/*,1.029 ,0.527 ,0.294 ,1.652 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)CNC(=O)*,0.995 ,0.545 ,0.294 ,2.526 
*O[Si](C)(C)NS(=O)(Cl)*,1.088 ,0.499 ,0.294 ,2.032 
*N=P(Cl)(O[Si](C)(CC)O[Si](C)(C)C)*,1.056 ,0.514 ,0.294 ,2.068 
*O[Si](C)(C#N)CSC(=O)*,1.005 ,0.540 ,0.294 ,2.070 
*O[Si](C)(C)CSC(=O)*,1.005 ,0.540 ,0.294 ,1.805 
*[Si](O[Si](C)(C)F)(c1ccc(Br)cc1)*,1.257 ,0.432 ,0.294 ,2.010 
*/C=C/[Si](C)(C)O[Si](C)(C)CS(=O)(=O)*,0.988 ,0.549 ,0.294 ,1.874 
*O[Si](C)(C)O[Si](C)(C)SSc1cnc(s1)*,1.003 ,0.542 ,0.294 ,2.710 
*O[Si](C)(C#N)C(=O)*,1.009 ,0.538 ,0.294 ,1.508 
*O[Si](C)(C)C(=O)*,1.009 ,0.538 ,0.294 ,1.367 
*/C=C/c1cc(OC)c(cc1OCC(CC)CCCC)*,0.898 ,0.605 ,0.294 ,3.051 
*O[Si](C)(C)O[Si](C)S(=O)(=O)*,1.011 ,0.537 ,0.294 ,2.106 
*OP(=O)(Oc1ccccc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N(C)*,1.083 ,0.502 ,0.294 ,3.220 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)[Si](Oc1ccc(C)cc1)(Sc1ccc(Br)cc1)*,1.275 ,0.426 ,0.294 ,2.611 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(OS(C)(C)O)*,0.998 ,0.545 ,0.293 ,2.632 
*O[Si](C)(C#N)CS(=O)(=O)*,1.003 ,0.542 ,0.293 ,1.761 
*O[Si](C)(C)CS(=O)(=O)*,1.003 ,0.542 ,0.293 ,1.850 
*/C(/C)=C(\O[Si](C)(C)C#CC)/*,0.860 ,0.632 ,0.293 ,2.010 
*O[Si](C)(C)c1ccc(s1)S(=O)(=O)c1ccc(s1)*,1.012 ,0.537 ,0.293 ,2.586 
*c1ccc(c(S(=O)(=O)O)c1)Oc1ccc(cc1)c1ccc(cc1)N(C)*,1.098 ,0.495 ,0.293 ,3.639 
*Sc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Sc1ccc(cc1)N(c1ccc(C)cc1)*,1.080 ,0.504 ,0.293 ,2.627 
*O[Si](C)(C)O[Si](C)(c1ccc(Br)cc1)*,1.262 ,0.431 ,0.293 ,1.748 
*Cc1ccc(cc1)CSc1ccc(cc1)N(c1ccc(C#N)cc1)*,1.049 ,0.519 ,0.293 ,2.404 
*/C(/C)=C(\C)/c1ccc(s1)[Si](C)(C)[Si](C)(Cl)C[Si](C)(C)*,0.986 ,0.552 ,0.292 ,2.589 
*N=P(CCl)(O[Si](C)(C)C)*,1.079 ,0.504 ,0.292 ,1.629 
*OS(=O)(=O)c1ccc(cc1)Sc1ccc(cc1)S(=O)(=O)N(C)c1ccc(cc1)*,1.096 ,0.497 ,0.292 ,2.294 
*C([2H])=C(O[Si](C)(C)CC)*,0.863 ,0.631 ,0.292 ,1.978 
*OS(=O)(=O)c1ccc(cc1)Cc1ccc(cc1)N(C)*,1.085 ,0.502 ,0.292 ,2.517 
*OP(=O)(Oc1ccc(OC)cc1)Oc1ccc(c(S(=O)(=O)N(C)C)c1)*,1.084 ,0.502 ,0.292 ,2.964 
*/C(/[2H])=C/c1cc(Br)c(cc1OC)/C=N/c1ccc(nc1)[Si](C)(C)O[Si](C)(C)[SH](C)(C)*,1.292 ,0.421 ,0.292 ,3.087 
*O[Si](C)(C)O[Si](C)(C)OP(=O)(OC)SSSS*,1.017 ,0.536 ,0.292 ,2.631 
*O[Si](C)(C(=O)Oc1ccc(OC(=O)Nc2ccccc2)cn1)*,1.045 ,0.521 ,0.292 ,2.874 
*C(C#N)=C(OC)[Si](C)(C)*,0.864 ,0.631 ,0.292 ,1.802 
*OC(C#N)=C([Si](C)(C)C)*,0.864 ,0.631 ,0.292 ,1.838 
*O[Si](C)(C)O[Si](C)(C)C[Si](C)(C[SH](C)(C)C)*,0.994 ,0.548 ,0.292 ,2.344 
*O[Si](C)(C)P(=O)(NC)C(=O)*,1.010 ,0.540 ,0.291 ,2.275 
*c1ccc(cc1)S(c1ccccc1)c1ccc(cc1)N(C)*,1.071 ,0.509 ,0.291 ,2.091 
*OS(=O)(=O)c1ccc(cc1)Sc1ccc(cc1)S(=O)(=O)N(C)*,1.100 ,0.495 ,0.291 ,2.088 
*N=P(CCl)(OCC[Si](C)(C)C#C)*,1.058 ,0.515 ,0.291 ,2.174 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)[SH](C)(C)*,1.000 ,0.545 ,0.291 ,2.193 
*O[Si](C)(C)c1ccc(c(Br)c1)[Si](C)(c1ccccc1)*,1.260 ,0.433 ,0.291 ,2.521 
*/C=C/c1cc(I)c(cc1C=O)N1C=CCP2(C1=CC(=C(Br)C(=CCCC2CCCCCCCC)O)C)*,0.993 ,0.549 ,0.291 ,4.408 
*O[Si](O[Si](C)(C)O)(c1ccc(Br)cc1)*,1.268 ,0.430 ,0.291 ,1.910 
*C(=S)N(c1cc(S(=O)(=O)O)ccc1c1ccc(O)cc1)*,1.100 ,0.496 ,0.291 ,3.413 
*Cc1ccc(cc1)CN(C)c1ccc(cc1)S(=O)(=O)*,1.061 ,0.514 ,0.291 ,2.739 
*O[Si](C)(C)O[Si](C)(C)S(C)(C)*,1.005 ,0.543 ,0.291 ,2.117 
*c1ccc(cc1)[PH](=O)(C)c1ccc(cc1)Oc1ccc(cc1)N(C)c1ccc(cc1)S(=O)(=O)*,1.083 ,0.504 ,0.291 ,3.339 
*O/C(/C)=C(\[Si](C)(C)C)/*,0.859 ,0.635 ,0.291 ,1.666 
*OC(C)=C([Si](C)(C)C)*,0.859 ,0.635 ,0.291 ,1.725 
*O[Si](C)(C)O[Si](C)(C)Oc1cc(c(C)cc1Br)N(C)*,1.280 ,0.426 ,0.291 ,2.868 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)[SH](C)(C)*,1.000 ,0.546 ,0.291 ,2.193 
*/C=C/c1cc(OCCC(CC)CCC)c(cc1OC)*,0.902 ,0.605 ,0.291 ,3.435 
*c1ccc(c(F)c1Br)Sc1ccc(cc1)[Si](C)(O[Si](C)(C)O)*,1.279 ,0.427 ,0.291 ,2.158 
*O[Si](C)(C)NC(=O)*,1.010 ,0.540 ,0.291 ,1.622 
*O[Si](C)(C)NC(=O)c1ccc(cn1)*,1.010 ,0.540 ,0.291 ,2.017 
*O[Si](C)(C)O[Si](C)(SS(=O)(=O)c1ccccc1)*,1.033 ,0.528 ,0.291 ,1.946 
*/C=C/c1cc(OCC(CC)CCCO)c(cc1OC)*,0.918 ,0.595 ,0.290 ,3.139 
*SSSSS[Si](C)([Si](C)(C)C)*,1.034 ,0.528 ,0.290 ,1.912 
*/C=C/C(C#N)=C(O[Si](C)(C)C)*,0.865 ,0.631 ,0.290 ,2.162 
*O[Si](C)(C)S(=O)(=O)*,1.011 ,0.540 ,0.290 ,1.442 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1cc(Br)c(cc1C)*,1.282 ,0.426 ,0.290 ,2.302 
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(C)cc1)c1ccc(cc1)*,1.090 ,0.501 ,0.290 ,3.121 
*Cc1ccc(cc1)CSSS(=O)(=O)c1ccc(cc1)N(C)*,1.066 ,0.512 ,0.290 ,3.417 
*O[Si](Br)(Cc1ccc(C)cc1)*,1.263 ,0.432 ,0.290 ,2.241 
*O[Si](C)(Cc1ccc(Br)cc1)*,1.263 ,0.432 ,0.290 ,1.797 
*/C=C/C(C)=C(O[Si](C)(C)C)*,0.860 ,0.635 ,0.290 ,1.708 
*Oc1ccc(cc1)S(=O)(=O)N(C#N)S(=O)(=O)c1ccc(cc1)*,1.100 ,0.496 ,0.290 ,2.326 
*c1ccc(c(Br)c1)[Si](C)(O[Si](C)(C)C)*,1.259 ,0.434 ,0.290 ,1.775 
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)N(C)c1ccc(cc1)*,1.090 ,0.501 ,0.290 ,3.161 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1cc(O)c(cc1Br)*,1.283 ,0.426 ,0.290 ,2.450 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1cc(O)c(cc1Br)*,1.283 ,0.426 ,0.290 ,2.297 
*N=P(OC)(OCC=CC[Si](C)(C)Cl)*,1.049 ,0.521 ,0.290 ,2.195 
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)S(=O)(=O)N(C)c1ccc(cc1)*,1.096 ,0.498 ,0.290 ,2.757 
*c1ccc(cc1)N(c1ccc(S(=O)(=O)O)c(C)c1)*,1.104 ,0.495 ,0.290 ,2.290 
*OS(=O)(=O)c1ccc(cc1)Cc1ccc(cc1)N(c1ccc(C#N)cc1)*,1.080 ,0.506 ,0.290 ,2.574 
*O[Si](C)(C)c1ccc(c(S(=O)(=O)O)c1)c1ccc(cc1CBr)[Si](c1ccccc1)(c1ccccc1)*,1.274 ,0.429 ,0.290 ,3.097 
*/C=C/c1cc(OCC(CC)CCCC)c(c(OC)c1O)*,0.912 ,0.599 ,0.290 ,3.389 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1cc(C)c(cc1Br)*,1.282 ,0.426 ,0.290 ,2.173 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1cc(Br)c(cc1OC)*,1.282 ,0.426 ,0.290 ,2.085 
*OS(=O)(=O)c1ccc(cc1)Cc1ccc(cc1)N(c1ccc(C)cc1)*,1.080 ,0.506 ,0.290 ,2.446 
*Oc1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)N(C)c1ccc(cc1)c1ccc(cc1)*,1.083 ,0.505 ,0.289 ,3.276 
*N(c1ccc(C)cc1)c1ccc(cc1)c1ccc(cc1)c1ccc(cc1)S(=O)(=O)*,1.081 ,0.506 ,0.289 ,2.395 
*O[Si](C)(C)NC(C)=C(O[Si](C)(C)C#N)*,0.921 ,0.593 ,0.289 ,2.530 
*C(Cl)=C=C=C(O[Si](C)(C)C)*,1.045 ,0.523 ,0.289 ,1.733 
*Sc1ccccc1Cc1ccc(cc1)Cc1ccc(c(C)c1)N(c1ccccc1)*,1.074 ,0.509 ,0.289 ,3.696 
*Oc1ccccc1c1ccc(cc1)S(=O)(=O)c1ccc(cc1)N(c1ccc(C)cc1)*,1.092 ,0.501 ,0.289 ,3.124 
*/C=C(\[Si](C)(C)C(=O)OC)/*,0.999 ,0.547 ,0.289 ,1.867 
*NC(C)=C(O[Si](C)(C)O[Si](C)(C)C)*,0.921 ,0.594 ,0.289 ,2.283 
